Date;Valor;Ativo
30/11/2017;4,34;KLBN3SA
01/12/2017;4,11;KLBN3SA
04/12/2017;4,18;KLBN3SA
05/12/2017;4,1;KLBN3SA
06/12/2017;4,25;KLBN3SA
07/12/2017;4,16;KLBN3SA
08/12/2017;4,1;KLBN3SA
11/12/2017;4,07;KLBN3SA
12/12/2017;4,11;KLBN3SA
13/12/2017;4,06;KLBN3SA
14/12/2017;4,05;KLBN3SA
15/12/2017;4,19;KLBN3SA
18/12/2017;4,27;KLBN3SA
19/12/2017;4,09;KLBN3SA
20/12/2017;4,15;KLBN3SA
21/12/2017;4,34;KLBN3SA
22/12/2017;4,22;KLBN3SA
25/12/2017;4,22;KLBN3SA
26/12/2017;4,26;KLBN3SA
27/12/2017;4,17;KLBN3SA
28/12/2017;4,26;KLBN3SA
29/12/2017;4,26;KLBN3SA
02/01/2018;4,37;KLBN3SA
03/01/2018;4,27;KLBN3SA
04/01/2018;4,26;KLBN3SA
05/01/2018;4,3;KLBN3SA
08/01/2018;4,38;KLBN3SA
09/01/2018;4,34;KLBN3SA
10/01/2018;4,26;KLBN3SA
11/01/2018;4,22;KLBN3SA
12/01/2018;4,19;KLBN3SA
15/01/2018;4,16;KLBN3SA
16/01/2018;4,14;KLBN3SA
17/01/2018;4,05;KLBN3SA
18/01/2018;4,17;KLBN3SA
19/01/2018;4,25;KLBN3SA
22/01/2018;4,16;KLBN3SA
23/01/2018;4,22;KLBN3SA
24/01/2018;4,3;KLBN3SA
25/01/2018;4,3;KLBN3SA
26/01/2018;4,18;KLBN3SA
29/01/2018;4,27;KLBN3SA
30/01/2018;4,22;KLBN3SA
31/01/2018;4,14;KLBN3SA
01/02/2018;4,11;KLBN3SA
02/02/2018;4,15;KLBN3SA
05/02/2018;4,1;KLBN3SA
06/02/2018;4,24;KLBN3SA
07/02/2018;4,31;KLBN3SA
08/02/2018;4,12;KLBN3SA
09/02/2018;3,99;KLBN3SA
14/02/2018;4,06;KLBN3SA
15/02/2018;4,19;KLBN3SA
16/02/2018;4,15;KLBN3SA
19/02/2018;4,17;KLBN3SA
20/02/2018;4,23;KLBN3SA
21/02/2018;4,18;KLBN3SA
22/02/2018;4,2;KLBN3SA
23/02/2018;4,41;KLBN3SA
26/02/2018;4,3;KLBN3SA
27/02/2018;4,31;KLBN3SA
28/02/2018;4,21;KLBN3SA
01/03/2018;4,33;KLBN3SA
02/03/2018;4,37;KLBN3SA
05/03/2018;4,3;KLBN3SA
06/03/2018;4,37;KLBN3SA
07/03/2018;4,45;KLBN3SA
08/03/2018;4,41;KLBN3SA
09/03/2018;4,49;KLBN3SA
12/03/2018;4,53;KLBN3SA
13/03/2018;4,72;KLBN3SA
14/03/2018;4,75;KLBN3SA
15/03/2018;4,92;KLBN3SA
16/03/2018;5,04;KLBN3SA
19/03/2018;5,05;KLBN3SA
20/03/2018;5,24;KLBN3SA
21/03/2018;5,35;KLBN3SA
22/03/2018;5,26;KLBN3SA
23/03/2018;5,22;KLBN3SA
26/03/2018;5,3;KLBN3SA
27/03/2018;5,3;KLBN3SA
28/03/2018;5,85;KLBN3SA
29/03/2018;6,24;KLBN3SA
02/04/2018;6,15;KLBN3SA
03/04/2018;6,54;KLBN3SA
04/04/2018;6,81;KLBN3SA
05/04/2018;6,65;KLBN3SA
06/04/2018;6,51;KLBN3SA
09/04/2018;6,61;KLBN3SA
10/04/2018;6,43;KLBN3SA
11/04/2018;6,32;KLBN3SA
12/04/2018;5,37;KLBN3SA
13/04/2018;5,91;KLBN3SA
16/04/2018;5,94;KLBN3SA
17/04/2018;6,36;KLBN3SA
18/04/2018;6,7;KLBN3SA
19/04/2018;6,36;KLBN3SA
20/04/2018;6,33;KLBN3SA
23/04/2018;6,19;KLBN3SA
24/04/2018;5,9;KLBN3SA
25/04/2018;6,06;KLBN3SA
26/04/2018;6,33;KLBN3SA
27/04/2018;6,45;KLBN3SA
30/04/2018;6,58;KLBN3SA
02/05/2018;6,36;KLBN3SA
03/05/2018;6,52;KLBN3SA
04/05/2018;6,29;KLBN3SA
07/05/2018;6,56;KLBN3SA
08/05/2018;6,7;KLBN3SA
09/05/2018;6,81;KLBN3SA
10/05/2018;6,56;KLBN3SA
11/05/2018;6,72;KLBN3SA
14/05/2018;6,64;KLBN3SA
